Date de comptabilisation,Libelle simplifie,Libelle operation,Reference,Informations complementaires,Type operation,Categorie,Sous categorie,Debit,Credit,Date operation,Date de valeur,Pointage operation
13/09/2025,Google Play App,CB Google Play App FACT 110925,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-22,99",,11/09/2025,13/09/2025,0
12/09/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 110925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-8,45",,11/09/2025,12/09/2025,0
11/09/2025,APPLE.COM/BILL,CB APPLE.COM/BILL FACT 090925,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-14,99",,09/09/2025,11/09/2025,0
11/09/2025,APPLE.COM/BILL,CB APPLE.COM/BILL FACT 090925,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-3,99",,09/09/2025,11/09/2025,0
11/09/2025,APPLE.COM/BILL,CB APPLE.COM/BILL FACT 090925,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-6,99",,09/09/2025,11/09/2025,0
10/09/2025,FREE MOBILE,PRLV FREE MOBILE,2525246G10379341,2525246G10379341-,Prelevement,Logement - maison,Internet et telephonie,"-57,81",,10/09/2025,10/09/2025,0
10/09/2025,INTERMARCHE,CB INTERMARCHE FACT 090925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-7,2",,09/09/2025,10/09/2025,0
09/09/2025,STERNE CNSO,STERNE CNSO,2525246BP0015783,VIREMENT DE M CLARY-DERYCKERE PHILIPPE OU MM-VIREMENT DE M CLARY-DERYCKERE PHILI,Virement,A categoriser - sortie d'argent,Virement emis - a categoriser,-20,,09/09/2025,09/09/2025,0
09/09/2025,FRAIS BANCAIRES,COM CB INT OPENAI CHATGPT,,,Frais bancaires,Banque et assurances,Frais bancaires,"-1,29",,09/09/2025,09/09/2025,0
09/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2525246IN0037248,,Virement recu,Transaction exclue,Virement interne,,300,09/09/2025,09/09/2025,0
09/09/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 080925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-8,72",,08/09/2025,09/09/2025,0
09/09/2025,ACTION,CB Action 4219 FACT 060925,,,Carte bancaire,Shopping et services,Shopping et services - autre,"-58,98",,06/09/2025,09/09/2025,0
08/09/2025,SUPER U,CB UEP SUPER U PRU FACT 070925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-86,9",,07/09/2025,08/09/2025,0
08/09/2025,ALDI,CB ALDI MARCHE FACT 060925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-50,44",,06/09/2025,08/09/2025,0
08/09/2025,LA PAUSE GOURMANDE,CB PAUSE GOURMANDE FACT 060925,,,Carte bancaire,Alimentation,Alimentation - autre,"-16,44",,06/09/2025,08/09/2025,0
08/09/2025,Google One,CB Google One FACT 060925,,,Carte bancaire,Loisirs et vacances,"Video, Musique et jeux","-21,99",,06/09/2025,08/09/2025,0
08/09/2025,SORODIS,CB SORODIS FACT 060925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-190,43",,06/09/2025,08/09/2025,0
08/09/2025,CAFe DES BEAUX,CB CAFe DES BEAUX FACT 050925,,,Carte bancaire,Loisirs et vacances,Bar,"-39,8",,05/09/2025,08/09/2025,0
08/09/2025,PHARMACIE DU THEATRE,CB PHIE THEATRE FACT 050925,,,Carte bancaire,Sante,Pharmacie,"-5,95",,05/09/2025,08/09/2025,0
08/09/2025,FNAC,CB FNAC FACT 050925,,,Carte bancaire,Shopping et services,High-Tech/Electromenager,"-47,32",,05/09/2025,08/09/2025,0
08/09/2025,FNAC,CB FNAC FACT 050925,,,Carte bancaire,Shopping et services,High-Tech/Electromenager,-95,,05/09/2025,08/09/2025,0
08/09/2025,CARREFOUR OR SC,CB CARREFOUR OR SC FACT 050925,,,Carte bancaire,Alimentation,Hyper/supermarche,"-11,87",,05/09/2025,08/09/2025,0
08/09/2025,OPENAI CHATGPT,CB OPENAI CHATGPT FACT 050925,,,Carte bancaire,Shopping et services,High-Tech/Electromenager,"-20,64",,05/09/2025,08/09/2025,0
06/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524946IN0154225,,Virement recu,Transaction exclue,Virement interne,,300,06/09/2025,06/09/2025,0
06/09/2025,BOUQUINERIEDUSA,CB BOUQUINERIEDUSA FACT 050925,,,Carte bancaire,Shopping et services,Shopping et services - autre,-9,,05/09/2025,06/09/2025,0
05/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524846IN0304540,,Virement recu,Transaction exclue,Virement interne,,100,05/09/2025,05/09/2025,0
05/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524846IN0167582,,Virement recu,Transaction exclue,Virement interne,,300,05/09/2025,05/09/2025,0
05/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524846IN0100924,,Virement recu,Transaction exclue,Virement interne,,21,05/09/2025,05/09/2025,0
05/09/2025,VIREMENT VERS COMPTE CHEQUE,VIREMENT VERS COMPTE CHEQUE,2524846IN0100011,,Virement recu,Transaction exclue,Virement interne,,100,05/09/2025,05/09/2025,0
05/09/2025,NATIXIS FINANCEMENT,PRLV BPCE FINANCEMENT,2524746G12731403,2524746G12731403-,Prelevement,Banque et assurances,Banque et assurance - autre,-200,,05/09/2025,05/09/2025,0
